osmid,safety_tag_value,is_lit
76259595,1,0
1072612919,1,1
74143736,5,0
617869266,5,1
74143735,1,0
973891813,1,0
739495872,5,0
"973891812,973891813",4,1
"973891812,816227982",4,1
"1035228138,901728067",5,1
8364282,6,1
739495872,1,0
973891813,4,0
8364282,5,1
"973891812,973891813",1,1
103968159,5,0
"973891812,816227982",1,1
816227982,5,1
901728067,4,0
"901728065,49121537",4,1
"1035228138,901728067",1,1
6584623,5,0
816227982,1,1
816227982,6,1
4680790,4,0
6584623,1,0
4396535,1,1
816227982,6,0
"18644944,62060185,62060186,18644942",1,1
4396535,6,0
103968162,6,1
4253044,3,0
617858470,3,0
4253044,1,0
617858469,1,1
4255516,5,0
1465149995,5,0
23279387,1,1
1331828697,5,1
4255516,1,0
455054251,5,1
"1442040962,455054251,1432693687,1432696342,1432696343,1442040958",6,1
1465149995,1,0
19061508,5,0
1465149995,5,1
108890744,6,1
4255529,1,1
4253038,4,1
1331828696,1,1
1331828697,1,1
4253038,1,1
58781822,4,0
1331828696,3,0
666605607,2,0
4132926,1,1
4132949,4,1
4132926,3,0
4132935,1,1
4132949,1,1
4253039,4,0
1331828696,1,0
666605608,3,0
1331828696,3,1
4977089,4,1
23194310,4,0
23194311,4,1
4977089,1,0
23194314,5,1
23194310,1,0
23194310,3,0
739495874,3,0
23194311,1,0
4977090,3,0
23194312,4,1
"901728072,901728070",3,1
"901728074,901728071",3,0
"901728073,4680802,901728076",3,1
"901728075,18642876,901728078",4,1
901728070,2,1
"901728072,901728070",1,1
1365538261,2,0
901728071,4,0
"901728074,901728071",1,1
1365538260,3,0
4680802,3,0
"901728073,4680802,901728076",1,1
99509793,4,0
"901728075,18642876,901728078",1,1
23171849,4,1
670671111,5,0
"1220936832,116974799",7,0
"1220936832,840009278",7,0
"1220936832,116974799",1,0
"1342193491,1342193493",7,0
"1342193492,1342193493",7,0
4253997,6,0
1517280650,6,0
1517293618,6,1
4253997,1,0
"1308890804,1308890805",6,0
"1308890810,1308890805",6,0
"1308890802,1308890804",7,0
"1308890804,1308890805",1,0
1517280650,1,0
1308890810,7,1
"1308890810,1308890805",1,0
1517293618,1,1
"1520218632,3076841,1250177743",5,0
"1520218632,3076841,1250177743",1,0
"1435152182,1435152183",5,0
"1435152187,1435152182",5,0
"1499178970,1499178971,691547350,691547351",6,0
4016932,5,1
4018150,1,1
4016932,5,0
4016932,1,1
71887212,5,0
962654994,5,0
"4016932,1071989597",5,1
4018150,1,0
4043478,1,1
"437218994,438016810,4016934",5,1
4016934,5,1
4018150,5,1
50839615,3,0
4016931,4,1
"26359113,26359114,4016932",1,1
50839615,3,1
50839615,1,0
908234689,3,0
4016931,1,1
4049405,1,1
"34754316,59480691,59480692,59480662,652096698",1,0
4210583,4,0
34753766,4,0
34753766,3,0
4210583,1,0
4210583,3,1
"1533780058,1533780061,1533780062",4,1
"1533780066,1533780067,1533780062,1533780063",3,1
4214970,4,0
34753766,1,0
34753766,2,0
157077476,2,0
4049404,3,0
34753523,1,0
34753523,4,1
4049404,1,1
34754142,4,1
"34754029,1343500165",4,1
4048436,1,1
34753523,1,1
34753766,1,1
6247153,4,0
4066410,5,0
50839620,5,0
"4364602,50839620",5,0
4066410,1,0
4066410,5,1
"1533785257,1533785258,1533785259",5,0
"1533785259,1432526774",1,1
4364564,4,0
50839620,1,0
4364602,1,1
"4364602,50839620",1,0
"1533785248,1533785249,1533785250",5,1
"1533785248,1432526792,1432526791",1,1
"825453626,967123207",5,1
1235320829,5,0
50839620,1,1
4066413,1,0
825453626,5,0
1235806101,1,0
"825453626,967123207",1,1
4364601,5,0
50839620,6,0
4364601,1,0
"1533785252,1533785253,1533785254",6,1
"1533785256,1533785254,1533785255",5,0
4364565,6,0
50839620,6,1
67567153,5,0
1239140957,5,0
1235320829,1,0
581188094,5,1
581188094,2,1
1071976819,3,0
"3531081,1072633086,1072633087",1,0
"1303383960,724652305,1303383959",1,1
1071976819,1,0
3531081,2,0
60453519,5,0
724652305,1,1
105467186,2,0
105467186,1,0
"1432702316,1432702317",3,0
1432702316,1,0
1253747491,5,0
1253747490,5,0
1253747489,5,0
1253747491,1,0
"1052054050,1253747491",4,0
19727046,1,0
